sample,rep_number,0.01,0.1,0.3,1,3,10,30,100,300,1000,3000,10000
Vector Control,1,0.9788,0.9971,1.0005,0.9517,0.5445,0.3375,0.215,0.1874,0.1161,0.0645,0.0074,0.03
Vector Control,2,0.9305,0.9494,0.9719,0.9256,0.5753,0.3213,0.2592,0.1877,0.1294,0.0564,0.0048,0.0223
Vector Control,3,0.9778,1.0635,0.9481,0.8391,0.5907,0.3205,0.2249,0.1778,0.1236,0.0527,0.0068,0.0232
Vector Control,4,0.9799,0.99,0.966,0.8205,0.543,0.3057,0.2478,0.1744,0.1314,0.0476,0.0071,0.0237
V600E,1,0.7988,0.857,0.839,0.9768,0.8367,0.9939,0.785,0.5573,0.2944,0.1697,0.0479,0.0734
V600E,2,0.8344,0.8923,0.8446,0.966,0.8027,1.0077,0.8111,0.594,0.2971,0.1544,0.0526,0.0678
V600E,3,0.8734,0.9559,0.8151,1.0859,0.7939,0.9889,0.7256,0.5911,0.2887,0.1669,0.0544,0.0712
V600E,4,0.7601,1.0408,0.9331,0.9712,0.887,0.9576,0.8153,0.5579,0.2973,0.1583,0.0494,0.0599
Week 1,1,0.6558,0.7338,0.7245,0.8161,0.7969,0.8563,1.0314,1.0489,0.8866,0.4388,0.2961,0.3307
Week 1,2,0.6638,0.7656,0.7686,0.7658,0.8524,0.8445,1.0318,1.0025,0.84,0.42,0.2865,0.3531
Week 1,3,0.7324,0.7859,0.7332,0.719,0.8126,0.7067,0.9442,0.9019,0.8259,0.3908,0.2858,0.3224
Week 1,4,0.7433,0.7095,0.756,0.6469,0.833,0.6798,0.9927,0.848,0.8138,0.3794,0.2919,0.2904
Week 2 C,1,0.5369,0.5818,0.6402,0.7251,0.7009,0.8059,0.8123,1.084,0.8947,0.4808,0.2947,0.3954
Week 2 C,2,0.5212,0.6304,0.6421,0.7139,0.7086,0.8216,0.8202,1.1262,0.8853,0.5483,0.3073,0.4267
Week 2 C,3,0.5675,0.5912,0.6325,0.595,0.8264,0.6773,0.846,0.9255,0.991,0.463,0.3067,0.3526
Week 2 C,4,0.618,0.572,0.6453,0.681,0.7265,0.7785,0.8533,0.8643,0.9961,0.3764,0.3162,0.3553
Week 3 C,1,0.7057,0.6723,0.7431,0.7143,0.8104,0.8988,0.8754,1.0383,0.9209,0.4949,0.2663,0.3856
Week 3 C,2,0.7325,0.6662,0.8146,0.7457,0.9656,0.7887,1.0872,1.0094,1.1063,0.5233,0.3243,0.4252
Week 3 C,3,0.714,0.7073,0.7171,0.7766,0.866,0.869,0.9676,1.0912,0.9347,0.4863,0.2739,0.4035
Week 3 C,4,0.7383,0.7509,0.7625,0.7182,0.9171,0.6906,0.9828,0.7571,1.0381,0.3912,0.3586,0.3494
Week 4 C,1,0.6691,0.7166,0.7674,0.8231,0.8298,0.7554,0.9254,1.0361,0.8684,0.4784,0.2984,0.3547
Week 4 C,2,0.7358,0.7307,0.8564,0.7405,0.8493,0.6983,0.8041,0.9424,0.8256,0.4585,0.2858,0.3752
Week 4 C,3,0.6795,0.8055,0.7214,0.7872,0.781,0.8874,0.8721,1.0305,0.8369,0.4944,0.2582,0.3779
Week 4 C,4,0.7337,0.8419,0.8051,0.8446,0.7543,0.868,0.89,0.991,0.84,0.4878,0.2977,0.3558
Week 2 I,1,0.7475,0.8637,0.7455,0.9104,0.7698,0.8994,0.9065,0.7893,0.4837,0.151,0.0375,0.0641
Week 2 I,2,0.8212,1.0367,0.9836,0.9231,1.0481,0.9174,1.0813,0.8239,0.5058,0.145,0.0544,0.0676
Week 2 I,3,0.9092,0.8682,0.8202,0.8935,0.987,1.0433,0.9861,0.8713,0.5115,0.1719,0.05,0.0924
Week 2 I,4,0.884,0.7777,0.935,0.7682,0.9468,0.7331,1.0261,0.779,0.539,0.1242,0.045,0.0594
Week 3 I,1,0.6055,0.5578,0.6712,0.6976,0.786,0.796,0.9094,1.0645,0.8494,0.5056,0.2884,0.2864
Week 3 I,2,0.6641,0.6048,0.7272,0.7271,0.9148,0.8281,1.0879,0.9726,1.0067,0.515,0.3271,0.2928
Week 3 I,3,0.5946,0.6063,0.6435,0.6494,0.8708,0.889,1.0262,1.1481,0.9364,0.5198,0.2902,0.3378
Week 3 I,4,0.6065,0.5679,0.6646,0.6196,0.7891,0.6842,0.9765,0.7826,0.9554,0.4333,0.2827,0.2704
Week 4 I,1,0.7755,0.8948,0.9313,0.968,0.871,0.9252,0.9728,0.8998,0.5067,0.1965,0.0717,0.0793
Week 4 I,2,0.8152,0.9261,0.7632,0.9889,0.6805,0.8899,0.9646,0.8754,0.5313,0.1935,0.0719,0.0838
Week 4 I,3,0.8359,0.8961,0.8641,1.0573,0.9212,1.0583,0.9144,1.0256,0.5133,0.2153,0.0724,0.0804
Week 4 I,4,0.923,1.0232,0.8785,0.9858,0.835,0.9462,0.9262,0.8657,0.4821,0.193,0.0729,0.0799
