symbol,category
PDGFRB,IC
EGFR,IC
WNT5A,IC
NRG1,IC
AXL,IC
NGFR,IC
PDGFB,IC
ERBB3,IC
SRC,IC
PTEN,IC
SERPINE1,IC
ZEB1,IC
FN1,IC
TGFBR2,IC
JUN,IC
FOXD1,IC
FOSL1,IC
MYC,IC
NFKB1,IC
SOX10,IC
CTNNB1,IC
MITF,IC
CDKN1A,IC
MLANA,IC
TYR,IC
MET,O
NOTCH1,O
ROR1,O
IGFBP2,O
MAPK8,O
PRKACA,O
ARAF,O
MTOR,O
CDH2,O
JUNB,O
ZEB2,O
RELB,O
ATF1,O
CCND1,O
CDKN1B,O
TWIST1,O
SNAI1,O
TGFBR1,O
TGFB1,O
NFKBIA,O
RELA,O
ELK1,O
CREB1,O
PAK1,O
MAPK14,O
RAF1,O
CXCL12,O
FOXD3,O
FOS,O
ETS1,O
IGF1R,O
IL1B,RR
CXCR4,RR
FGFR1,RR
AREG,RR
DKK1,RR
ETV1,RR
MC1R,RR
CSPG4,RR
SNAI2,RR
TP53,RR
NGF,RS
IL6,RS
GAS6,RS
IGFBP3,RS
DUSP6,RS
SPRY2,RS
SPRY4,RS
DUSP4,RS
TGFB2,RS
FOSL2,RS
ID3,RS
LEF1,RS
