gene,ensembl,name,pc1_loading,pc2_loading,category
TUBB4A,ENSG00000104833,tubulin beta 4A class IVa [Source:HGNC Symbol;Acc:HGNC:20774],-0.020576911170532317,0.001366727293490115,PC1
L3MBTL4,ENSG00000154655,l(3)mbt-like 4 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:26677],-0.020494443229507768,0.0013229141958692157,PC1
STAT5A,ENSG00000126561,signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366],-0.02044768246731033,-0.0014479067197699148,PC1
STX7,ENSG00000079950,syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442],-0.020443701118201905,0.0024007003735710517,PC1
C2orf88,ENSG00000187699,chromosome 2 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:28191],-0.02042026397143396,0.002010242775746118,PC1
WDR91,ENSG00000105875,WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997],-0.0203946826188062,-4.527324688423434e-4,PC1
LRRN4CL,ENSG00000177363,LRRN4 C-terminal like [Source:HGNC Symbol;Acc:HGNC:33724],-0.020377875264970282,0.0022061691951117276,PC1
PTPRJ,ENSG00000149177,"protein tyrosine phosphatase, receptor type, J [Source:HGNC Symbol;Acc:HGNC:9673]",-0.02034092148109165,4.220513542895068e-4,PC1
TNFRSF14,ENSG00000157873,tumor necrosis factor receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912],-0.02031062632185752,-0.0011072312692711978,PC1
RGS12,ENSG00000159788,regulator of G-protein signaling 12 [Source:HGNC Symbol;Acc:HGNC:9994],-0.020307198487334904,-0.0010275983175241238,PC1
MOB3B,ENSG00000120162,MOB kinase activator 3B [Source:HGNC Symbol;Acc:HGNC:23825],-0.020294663526830983,7.979083120669707e-4,PC1
CHCHD6,ENSG00000159685,coiled-coil-helix-coiled-coil-helix domain containing 6 [Source:HGNC Symbol;Acc:HGNC:28184],-0.020292241914653033,0.003188820917701464,PC1
NEMP2,ENSG00000189362,nuclear envelope integral membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:33700],-0.020277484376645633,-0.0025701152352315217,PC1
FAM174B,ENSG00000185442,family with sequence similarity 174 member B [Source:HGNC Symbol;Acc:HGNC:34339],-0.020274215175421797,-0.0036286491112816686,PC1
SNCA,ENSG00000145335,synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138],-0.020272517165030316,0.0015246539782003265,PC1
DLL3,ENSG00000090932,delta-like 3 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:2909],-0.020266327047261667,-1.6790506639953326e-4,PC1
RANBP10,ENSG00000141084,RAN binding protein 10 [Source:HGNC Symbol;Acc:HGNC:29285],-0.02023995414735392,0.0023924516149250587,PC1
QDPR,ENSG00000151552,quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752],-0.0202186909819458,-0.004624368892210116,PC1
SORT1,ENSG00000134243,sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186],-0.02021216942977319,-3.7893606994204686e-4,PC1
LINC01531,ENSG00000205786,long intergenic non-protein coding RNA 1531 [Source:HGNC Symbol;Acc:HGNC:51270],-0.02019753830117435,-0.002250938036522776,PC1
SIRPA,ENSG00000198053,signal-regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662],-0.020197516795764862,-0.0023511389078368678,PC1
GPM6B,ENSG00000046653,glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461],-0.02018721399051742,1.542968361866726e-4,PC1
ZNF106,ENSG00000103994,zinc finger protein 106 [Source:HGNC Symbol;Acc:HGNC:12886],-0.02018663234699664,-0.0018381098958627066,PC1
CPVL,ENSG00000106066,"carboxypeptidase, vitellogenic-like [Source:HGNC Symbol;Acc:HGNC:14399]",-0.020178547051717576,-1.291945835832333e-4,PC1
TDRD7,ENSG00000196116,tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831],-0.020173083956191388,-0.0029521765153428733,PC1
RP11-1055B8.4,ENSG00000262877,NA,-0.020156544561033777,0.002953062347004973,PC1
FASTKD1,ENSG00000138399,FAST kinase domains 1 [Source:HGNC Symbol;Acc:HGNC:26150],-0.020156331208746225,-4.258417734974131e-4,PC1
